method,method_d,method_cat,round,time
TKO,Esophagus Injury,Other,1,01:39
KO,Elbows,Elbow,1,01:40
Submission,Rear-Naked Choke,Choke,1,01:40
TKO,Punches,Punch,1,01:40
TKO,Punches,Punch,1,01:40
Submission,Guillotine Choke,Choke,1,01:41
Submission,Guillotine Choke,Choke,1,01:41
Submission,Rear-Naked Choke,Choke,1,01:41
Submission,Kneebar,Lock,1,01:41
Submission,Strikes,Striking,1,01:41
Submission,Guillotine Choke,Choke,1,01:42
TKO,Punches,Punch,1,01:42
TKO,Punches,Punch,1,01:42
Submission,Calf Slicer,Lock,1,01:43
Submission,Rear-Naked Choke,Choke,1,01:44
TKO,Punches,Punch,1,01:44
TKO,Punches,Punch,1,01:44
TKO,Punches,Punch,1,01:44
KO,Knee,Knee,1,01:45
Submission,Rear Naked Choke,Choke,1,01:45
Submission,Rear-Naked Choke,Choke,1,01:45
Submission,Rear-Naked Choke,Choke,1,01:45
Submission,Kimura,Lock,1,01:45
Submission,Triangle Armbar,Lock,1,01:45
TKO,Punches,Punch,1,01:45
TKO,Punches,Punch,1,01:45
Submission,Rear-Naked Choke,Choke,1,01:46
Submission,Kneebar,Lock,1,01:46
TKO,Punch,Punch,1,01:46
TKO,Punches,Punch,1,01:46
KO,Punch to the Body,Punch,1,01:47
TKO,Punches,Punch,1,01:47
KO,Punches,Punch,1,01:48
TKO,Punches,Punch,1,01:48
TKO,Punches,Punch,1,01:48
Submission,Heel Hook,Lock,1,01:49
TKO,Knees,Knee,1,01:49
Submission,Rear-Naked Choke,Choke,1,01:50
DQ,Illegal Knee to the Head,Illegal,1,01:51
KO,Punches,Punch,1,01:52
Submission,Arm-Triangle Choke,Choke,1,01:52
Submission,Brabo Choke,Choke,1,01:52
Submission,Rear-Naked Choke,Choke,1,01:52
Submission,Armbar,Lock,1,01:52
Submission,Kneebar,Lock,1,01:52
Submission,Neck Crank,Lock,1,01:52
TKO,Elbows,Elbow,1,01:52
KO,Punches,Punch,1,01:53
Submission,Arm-Triangle Choke,Choke,1,01:53
Submission,Rear-Naked Choke,Choke,1,01:53
TKO,Punches,Punch,1,01:53
TKO,Punches,Punch,1,01:53
KO,Punch,Punch,1,01:54
Submission,Guillotine Choke,Choke,1,01:54
Submission,Triangle Choke,Choke,1,01:54
Submission,Kimura,Lock,1,01:54
Submission,Triangle Armbar,Lock,1,01:54
TKO,Punches,Punch,1,01:54
TKO,Punches,Punch,1,01:54
TKO,Punches,Punch,1,01:54
TKO,Knees and Punches,Striking,1,01:54
KO,Punch,Punch,1,01:55
KO,Punches,Punch,1,01:55
KO,Punches and Elbows,Striking,1,01:55
TKO,Knee and Punches,Striking,1,01:55
TKO,Punches and Elbows,Striking,1,01:55
Submission,Guillotine Choke,Choke,1,01:56
TKO,Leg Kick,Kick,1,01:56
TKO,Knee,Knee,1,01:56
TKO,Punches,Punch,1,01:56
TKO,Punches,Punch,1,01:56
TKO,Slam,Striking,1,01:56
NC,Knee to Head of Grounded Fighter,Illegal,1,01:57
Submission,Kimura,Lock,1,01:57
Submission,Guillotine Choke,Choke,1,01:58
Submission,Kimura,Lock,1,01:58
TKO,Kick to the Body and Punches,Striking,1,01:58
KO,Punch,Punch,1,01:59
Submission,Arm Triangle Choke,Choke,1,01:59
Submission,Kneebar,Lock,1,01:59
TKO,Punches,Punch,1,01:59
TKO,Punches,Punch,1,01:59
TKO,Punches,Punch,1,01:59
TKO,Knee and Punches,Striking,1,01:59
KO,Punch,Punch,1,02:01
KO,Punches,Punch,1,02:01
Submission,Rear-Naked Choke,Choke,1,02:01
Submission,Rear-Naked Choke,Choke,1,02:01
Submission,Triangle Choke,Choke,1,02:01
Submission,Armbar,Lock,1,02:01
Submission,Punches,Punch,1,02:01
TKO,Body Kick and Punches,Striking,1,02:01
KO,Punches,Punch,1,02:02
TKO,Punches,Punch,1,02:02
TKO,Punches,Punch,1,02:02
KO,Punches,Punch,1,02:03
Submission,Guillotine Choke,Choke,1,02:03
TKO,Punches,Punch,1,02:03
Submission,Rear-Naked Choke,Choke,1,02:04
TKO,Punches,Punch,1,02:04
TKO,Suplex and Punches,Striking,1,02:04
Submission,Armbar,Lock,1,02:05
KO,Punches,Punch,1,02:06
Submission,Rear-Naked Choke,Choke,1,02:06
Submission,Neck Crank,Lock,1,02:06
Submission,Triangle Armbar,Lock,1,02:06
TKO,Cut,Stoppage,1,02:06
KO,Punches,Punch,1,02:07
KO,Punches,Punch,1,02:07
KO,Punches,Punch,1,02:07
Submission,Guillotine Choke,Choke,1,02:07
TKO,Punches,Punch,1,02:07
TKO,Punches,Punch,1,02:07
TKO,Punches,Punch,1,02:07
KO,Punches,Punch,1,02:08
Submission,Guillotine Choke,Choke,1,02:08
Submission,Armbar,Lock,1,02:08
Submission,Inverted Triangle Kimura,Lock,1,02:08
TKO,Punches,Punch,1,02:08
TKO,Punches and Elbows,Striking,1,02:08
KO,Punches,Punch,1,02:09
Submission,Guillotine Choke,Choke,1,02:09
TKO,Punches,Punch,1,02:09
KO,Knee to the Body,Knee,1,02:10
TKO,Punches,Punch,1,02:10
TKO,Punches,Punch,1,02:10
NC,Accidental Foul,Accident,1,02:11
TKO,Punches,Punch,1,02:11
KO,Punches,Punch,1,02:12
Submission,Rear-Naked Choke,Choke,1,02:12
TKO,Punches,Punch,1,02:12
KO,Knee,Knee,1,02:13
Submission,Guillotine Choke,Choke,1,02:13
Submission,Rear-Naked Choke,Choke,1,02:13
Submission,Armbar,Lock,1,02:13
TKO,Punches,Punch,1,02:13
TKO,Punches,Punch,1,02:13
TKO,Punches,Punch,1,02:13
TKO,Corner Stoppage,Stoppage,1,02:13
Submission,Guillotine Choke,Choke,1,02:14
Submission,Rear-Naked Choke,Choke,1,02:14
Submission,Position,Other,1,02:14
TKO,Cut,Stoppage,1,02:14
KO,Punch,Punch,1,02:15
KO,Suplex and Punches,Striking,1,02:15
Submission,Triangle Kimura,Lock,1,02:15
TKO,Punches,Punch,1,02:15
TKO,Punches,Punch,1,02:15
KO,Punches,Punch,1,02:16
KO,Punch,Punch,1,02:17
TKO,Punches,Punch,1,02:17
TKO,Punches,Punch,1,02:17
TKO,Punches,Punch,1,02:17
Submission,Rear-Naked Choke,Choke,1,02:18
Submission,Smother Choke,Choke,1,02:18
Submission,Elbows,Elbow,1,02:18
Submission,Armbar,Lock,1,02:18
Submission,Neck Crank,Lock,1,02:18
Submission,Omoplata,Lock,1,02:18
TKO,Punches,Punch,1,02:18
KO,Punch,Punch,1,02:19
KO,Elbow and Punch,Striking,1,02:19
Submission,Guillotine Choke,Choke,1,02:19
TKO,Punches,Punch,1,02:19
TKO,Punches,Punch,1,02:19
KO,Punch,Punch,1,02:20
KO,Punches,Punch,1,02:20
Submission,Arm-Triangle Choke,Choke,1,02:20
Submission,Triangle Choke,Choke,1,02:20
Submission,Strikes,Striking,1,02:20
TKO,Punches and Elbows,Striking,1,02:20
KO,Punch,Punch,1,02:21
KO,Punches,Punch,1,02:21
Submission,Rear-Naked Choke,Choke,1,02:21
Submission,Kneebar,Lock,1,02:21
Submission,Rear-Naked Choke,Choke,1,02:22
Submission,Triangle Choke,Choke,1,02:22
TKO,Punches,Punch,1,02:22
TKO,Punches,Punch,1,02:22
Submission,Choke,Choke,1,02:23
TKO,Punches,Punch,1,02:23
TKO,Punches,Punch,1,02:23
KO,Punches,Punch,1,02:24
Submission,Guillotine Choke,Choke,1,02:24
Submission,Punches,Punch,1,02:24
TKO,Punches,Punch,1,02:24
TKO,Strikes,Striking,1,02:24
Submission,Armbar,Lock,1,02:25
Submission,Punches,Punch,1,02:25
TKO,Punches,Punch,1,02:25
KO,Punches,Punch,1,02:26
Submission,Arm-Triangle Choke,Choke,1,02:26
Submission,Rear-Naked Choke,Choke,1,02:26
TKO,Kick to the Body and Punches,Striking,1,02:26
TKO,Elbows,Elbow,1,02:27
TKO,Punches,Punch,1,02:27
KO,Punch,Punch,1,02:28
TKO,Punches,Punch,1,02:28
TKO,Knee Injury,Stoppage,1,02:28
Submission,Arm-Triangle Choke,Choke,1,02:29
Submission,Rear-Naked Choke,Choke,1,02:29
Submission,Rear-Naked Choke,Choke,1,02:29
TKO,Punches,Punch,1,02:29
Submission,Neck Crank,Lock,1,02:30
Submission,Punches,Punch,1,02:30
TKO,Punches,Punch,1,02:30
KO,Kick to the Body,Kick,1,02:31
KO,Punch,Punch,1,02:31
KO,Punches,Punch,1,02:31
Submission,Armbar,Lock,1,02:31
TKO,Punches,Punch,1,02:31
KO,Punch,Punch,1,02:32
KO,Spinning Heel Kick and Punches,Striking,1,02:32
Submission,Rear-Naked Choke,Choke,1,02:32
TKO,Punches,Punch,1,02:32
TKO,Thumb Injury,Stoppage,1,02:32
Submission,Triangle Choke,Choke,1,02:33
Submission,Triangle Choke,Choke,1,02:33
Submission,Armbar,Lock,1,02:33
Submission,Neck Crank,Lock,1,02:33
KO,Punch,Punch,1,02:34
Submission,Rear-Naked Choke,Choke,1,02:34
KO,Kick to the Body,Kick,1,02:35
Submission,Rear-Naked Choke,Choke,1,02:35
Submission,Rear-Naked Choke,Choke,1,02:35
Submission,Guillotine Choke,Choke,1,02:36
Submission,Armbar,Lock,1,02:36
TKO,Leg Kicks,Kick,1,02:36
Submission,Rear-Naked Choke,Choke,1,02:37
Submission,Rear-Naked Choke,Choke,1,02:37
Submission,Triangle Choke,Choke,1,02:37
TKO,Punches,Punch,1,02:37
TKO,Punches,Punch,1,02:37
TKO,Punches,Punch,1,02:37
KO,Punches,Punch,1,02:38
Submission,Guillotine Choke,Choke,1,02:38
Submission,Rear-Naked Choke,Choke,1,02:38
Submission,Rear-Naked Choke,Choke,1,02:38
TKO,Retirement,Other,1,02:38
TKO,Punches,Punch,1,02:38
TKO,Punches,Punch,1,02:38
KO,Flying Knee,Knee,1,02:39
KO,Punch,Punch,1,02:39
Submission,Guillotine Choke,Choke,1,02:39
KO,Punch,Punch,1,02:40
Submission,Rear-Naked Choke,Choke,1,02:40
TKO,Punches,Punch,1,02:40
KO,Punch,Punch,1,02:42
KO,Punches,Punch,1,02:42
Submission,Triangle Choke,Choke,1,02:42
TKO,Punches,Punch,1,02:42
TKO,Punches,Punch,1,02:42
TKO,Leg Injury,Stoppage,1,02:42
TKO,Knee and Punches,Striking,1,02:42
KO,Punches,Punch,1,02:43
Submission,Triangle Choke,Choke,1,02:43
Submission,Punches,Punch,1,02:43
TKO,Punches,Punch,1,02:43
TKO,Punches,Punch,1,02:43
Submission,Choke,Choke,1,02:44
Submission,Guillotine Choke,Choke,1,02:44
Submission,Rear-Naked Choke,Choke,1,02:44
Submission,Armbar,Lock,1,02:44
KO,Punches,Punch,1,02:45
KO,Punches,Punch,1,02:45
Submission,Rear-Naked Choke,Choke,1,02:45
TKO,Punches,Punch,1,02:45
Submission,Guillotine Choke,Choke,1,02:47
Submission,Rear-Naked Choke,Choke,1,02:47
TKO,Punches,Punch,1,02:47
TKO,Punches,Punch,1,02:47
TKO,Punches,Punch,1,02:47
KO,Head Kick,Kick,1,02:49
TKO,Punches,Punch,1,02:49
Submission,Anaconda Choke,Choke,1,02:50
TKO,Knees,Knee,1,02:50
KO,Knee,Knee,1,02:51
KO,Punch,Punch,1,02:51
KO,Punch to the Body,Punch,1,02:51
Submission,Rear-Naked Choke,Choke,1,02:51
Submission,Punches,Punch,1,02:51
KO,Knees,Knee,1,02:52
Submission,Rear-Naked Choke,Choke,1,02:52
Submission,Rear-Naked Choke,Choke,1,02:52
KO,Knee,Knee,1,02:53
Submission,Rear-Naked Choke,Choke,1,02:53
TKO,Punches,Punch,1,02:53
Submission,Rear-Naked Choke,Choke,1,02:54
TKO,Punches,Punch,1,02:54
DQ,Kicking a Downed Opponent,Illegal,1,02:55
KO,Head Kick,Kick,1,02:55
TKO,Punches,Punch,1,02:55
TKO,Punches,Punch,1,02:55
TKO,Punches,Punch,1,02:55
TKO,Head Kick and Punches,Striking,1,02:55
KO,Punch,Punch,1,02:56
Submission,Rear-Naked Choke,Choke,1,02:56
Submission,Rear-Naked Choke,Choke,1,02:56
